Weekly Entering & Transitioning Thread | 26 May 2019 - 02 Jun 2019 
Weekly Entering & Transitioning Thread | 02 Jun 2019 - 09 Jun 2019 
Jr Data Scientist with the opportunity to get Cyber Security training in the Air Force. Do these skills complement one another? 
nn_builder - a new package that removes the need for boilerplate code when building neural networks 
"Python ""replacement"" for R + beamer + .Rmd "
Good web hosting platform for data visualization portfolio? 
Setting up a Data Science environment using Windows Subsystem for Linux (WSL) 
XGBoost Feature Selection 
Is it just me or is EDA plotting in Python (Seaborn) bad? 
Catalogue of Machine Learning Applications in Various Industries - Contributions Needed 
extracting animal name from a text 
"""Foundations of Data Science"" Book by Avrim Blum, John Hopcroft, and Ravindran Kannan "
Cricket Analytics | Part 3 
Managing your data science literature - help 
How can I improve my matching system ? 
Hi. I have a huge project coming up where I am expected to collect data from a large number of anonymous users. 
How to cluster job titles with HR data? 
VM provider with file downloads/storage and computation time 
"Is it possible to automate the game ""AMAZE!""? "
Which are the best data science resources that I can follow on the internet? 
How to store predictions for users efficiently? 
"How to automatically identify startpoints and endpoints of an ""event"" on a video? "
